time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-11-17,13.8,12.0,15.0,0.0,,228.8,20.0,38.9,1020.3,
2020-11-18,13.3,10.0,17.0,0.5,,218.0,19.8,40.8,1016.1,
2020-11-19,9.1,6.0,11.0,1.4,,275.5,18.9,46.3,1026.0,
2020-11-20,7.5,4.0,11.0,0.5,,221.1,11.8,29.6,1032.8,
2020-11-21,11.9,11.0,13.0,0.0,,240.8,22.5,40.8,1026.1,
2020-11-22,10.7,8.0,12.0,0.4,,266.7,11.5,27.8,1026.3,
2020-11-23,7.9,5.0,10.0,0.0,,206.2,7.4,22.2,1026.7,
2020-11-24,11.4,10.0,13.0,0.0,,189.3,13.2,29.6,1016.8,
2020-11-25,11.1,9.0,14.0,1.2,,213.0,11.4,24.1,1013.3,
2020-11-26,7.7,5.0,9.0,0.0,,15.2,4.1,16.7,1021.0,
2020-11-27,4.5,1.0,7.0,0.0,,45.2,5.3,20.4,1018.7,
2020-11-28,9.4,7.0,11.0,0.0,,79.4,12.0,22.2,1018.8,
2020-11-29,8.5,8.0,10.0,0.0,,25.3,6.5,18.5,1025.7,
2020-11-30,8.1,6.0,11.0,0.6,,264.0,14.8,35.2,1023.3,
2020-12-01,7.1,6.0,9.0,0.0,,327.3,13.8,31.5,1024.8,
2020-12-02,5.8,4.0,8.0,0.5,,270.1,9.0,20.4,1017.1,
2020-12-03,6.4,5.0,8.0,11.0,,192.4,11.3,27.8,989.0,
2020-12-04,5.0,4.0,6.0,4.0,,241.0,15.7,35.2,977.2,
2020-12-05,5.2,4.0,8.0,0.0,,106.6,13.8,27.8,991.5,
2020-12-06,4.2,2.0,6.0,0.0,,13.5,6.5,25.9,1001.3,
2020-12-07,2.0,1.0,3.0,0.7,,25.1,5.7,16.7,998.9,
2020-12-08,4.0,3.0,6.0,0.1,,270.9,6.2,18.5,1003.3,
2020-12-09,6.2,5.0,7.0,3.6,,231.1,12.7,25.9,1005.4,
2020-12-10,7.0,6.0,8.0,1.2,,113.7,14.2,27.8,999.4,
2020-12-11,9.8,8.0,12.0,6.9,,211.1,7.7,27.8,986.9,
2020-12-12,8.7,6.0,10.0,1.1,,265.1,15.8,33.3,999.0,
2020-12-13,8.0,4.0,12.0,8.0,,180.1,12.8,37.0,1002.2,
2020-12-14,11.4,10.0,13.0,5.1,,201.5,16.9,37.0,999.4,
2020-12-15,10.2,8.0,12.0,0.1,,191.0,12.3,27.8,1005.9,
2020-12-16,10.0,9.0,11.0,3.5,,156.6,14.7,37.0,1007.6,
2020-12-17,10.3,8.0,12.0,0.0,,219.2,13.1,33.3,1014.2,
2020-12-18,12.1,11.0,13.0,0.6,,193.9,21.4,42.6,1010.6,
2020-12-19,11.2,9.0,13.0,4.9,,194.1,19.1,38.9,1005.4,
2020-12-20,9.1,8.0,11.0,0.0,,215.0,15.7,37.0,1012.6,
2020-12-21,11.8,8.0,14.0,12.1,,198.4,17.1,42.6,1006.3,
2020-12-22,11.7,10.0,15.0,5.5,,232.2,13.8,46.3,1010.3,
2020-12-23,11.9,9.0,14.0,19.2,,188.3,10.5,29.6,1004.8,
2020-12-24,5.6,4.0,9.0,3.3,,339.1,18.6,42.6,1020.6,
2020-12-25,3.3,2.0,5.0,0.0,,287.6,14.0,38.9,1030.2,
2020-12-26,7.5,2.0,11.0,0.0,,233.3,21.9,64.8,1014.8,
2020-12-27,7.3,3.0,11.0,10.4,,234.4,21.0,70.4,976.7,
2020-12-28,2.9,1.0,4.0,0.0,,68.3,8.3,25.9,974.7,
2020-12-29,3.3,2.0,5.0,0.2,,310.3,10.4,24.1,990.1,
2020-12-30,3.5,2.0,6.0,0.0,,287.2,10.9,22.2,1002.1,
2020-12-31,1.0,0.0,2.0,0.0,,322.2,8.3,22.2,1005.3,
2021-01-01,2.7,0.0,5.0,0.5,,304.7,9.2,20.4,1011.2,
2021-01-02,4.1,2.0,6.0,0.0,,327.9,8.9,24.1,1015.5,
2021-01-03,3.8,1.0,7.0,0.6,,16.7,10.1,29.6,1017.4,
2021-01-04,4.4,3.0,5.0,2.6,,30.1,15.1,38.9,1019.1,
2021-01-05,3.8,3.0,5.0,2.2,,19.6,12.3,35.2,1019.5,
2021-01-06,4.2,2.0,6.0,1.7,,10.2,9.5,29.6,1019.0,
2021-01-07,1.9,-1.0,4.0,0.0,,293.8,10.7,22.2,1017.8,
2021-01-08,0.6,0.0,2.0,0.0,,322.2,7.1,18.5,1018.6,
2021-01-09,1.1,0.0,4.0,0.0,,332.1,5.2,18.5,1026.0,
2021-01-10,1.4,-1.0,5.0,0.0,,247.2,11.8,20.4,1025.4,
2021-01-11,7.3,4.0,9.0,0.9,,246.7,21.1,40.8,1016.9,
2021-01-12,7.1,4.0,10.0,2.9,,301.1,15.0,44.5,1013.9,
2021-01-13,6.3,3.0,10.0,3.6,,263.4,9.0,20.4,1017.9,
2021-01-14,4.4,3.0,6.0,26.0,,74.1,17.2,33.3,1016.8,
2021-01-15,2.5,1.0,4.0,0.0,,333.3,6.8,24.1,1029.5,
2021-01-16,5.3,2.0,8.0,8.8,,216.9,14.0,35.2,1019.9,
2021-01-17,6.4,4.0,8.0,0.3,,273.3,18.0,33.3,1023.4,
2021-01-18,5.8,4.0,9.0,0.7,,233.4,15.6,35.2,1020.8,
2021-01-19,10.8,9.0,12.0,4.4,,227.5,25.8,48.2,1003.6,
2021-01-20,10.2,9.0,11.0,3.1,,198.0,26.4,53.7,987.4,
2021-01-21,7.0,5.0,9.0,2.2,,239.9,24.3,55.5,984.8,
2021-01-22,4.6,2.0,8.0,1.3,,237.0,13.4,24.1,992.3,
2021-01-23,2.6,1.0,4.0,0.2,,272.4,12.4,25.9,995.5,
2021-01-24,1.0,-1.0,2.0,2.8,,95.0,10.7,31.5,997.1,
2021-01-25,2.1,-1.0,5.0,0.2,,289.6,14.7,31.5,1009.8,
2021-01-26,3.9,1.0,7.0,2.8,,214.4,12.8,29.6,1015.9,
2021-01-27,8.4,7.0,10.0,2.2,,236.4,9.0,24.1,1010.9,
2021-01-28,11.0,8.0,13.0,14.9,,234.7,16.6,46.3,1001.1,
2021-01-29,9.7,8.0,11.0,7.6,,254.8,19.8,42.6,998.2,
2021-01-30,5.3,3.0,8.0,17.1,,80.1,23.7,42.6,998.4,
2021-01-31,2.8,1.0,4.0,3.4,,76.6,16.0,35.2,997.7,
2021-02-01,4.0,3.0,5.0,0.2,,20.3,8.2,25.9,997.2,
2021-02-02,9.3,4.0,13.0,6.2,,206.5,16.6,35.2,994.7,
2021-02-03,9.0,7.0,11.0,7.0,,238.4,14.5,33.3,996.9,
2021-02-04,7.5,5.0,9.0,3.1,,179.8,8.6,24.1,1008.6,
2021-02-05,8.5,7.0,11.0,0.8,,196.1,9.7,20.4,1008.4,
2021-02-06,6.6,5.0,8.0,12.3,,71.9,8.6,33.3,1006.7,
2021-02-07,1.3,-1.0,4.0,7.8,,29.1,19.4,48.2,1004.2,
2021-02-08,-1.4,-2.0,-1.0,1.3,,29.7,13.8,38.9,1003.7,
2021-02-09,-0.3,-1.0,1.0,0.3,,59.8,14.5,29.6,1007.3,
2021-02-10,0.1,-2.0,2.0,0.0,,29.8,13.5,25.9,1016.2,
2021-02-11,-0.8,-2.0,0.0,0.0,,93.9,13.0,27.8,1027.5,
2021-02-12,-0.4,-2.0,1.0,0.0,,95.3,18.6,35.2,1030.8,
2021-02-13,-1.0,-4.0,2.0,0.0,,116.3,17.0,35.2,1032.9,
2021-02-14,2.7,1.0,4.0,0.8,,158.0,15.3,37.0,1026.1,
2021-02-15,8.8,5.0,12.0,0.7,,200.4,12.1,31.5,1018.4,
2021-02-16,9.7,8.0,10.0,1.6,,212.5,16.8,35.2,1010.1,
2021-02-17,10.3,8.0,12.0,3.2,,207.8,20.7,38.9,1010.1,
2021-02-18,9.0,6.0,11.0,2.0,,208.3,20.2,40.8,1004.1,
2021-02-19,9.1,6.0,13.0,0.4,,186.3,22.6,38.9,1008.4,
2021-02-20,13.9,12.0,16.0,0.1,,182.1,24.4,42.6,1003.6,
2021-02-21,12.0,9.0,15.0,0.0,,171.5,12.6,29.6,1008.6,
2021-02-22,10.0,8.0,12.0,0.5,,204.2,8.6,24.1,1015.3,
2021-02-23,11.0,7.0,14.0,0.0,,193.2,18.7,44.5,1023.4,
2021-02-24,13.5,12.0,16.0,0.0,,201.8,20.0,38.9,1022.7,
2021-02-25,11.0,8.0,13.0,0.0,,256.3,11.7,29.6,1027.0,
2021-02-26,7.7,3.0,12.0,0.0,,286.2,5.8,20.4,1037.3,
2021-02-27,7.2,3.0,12.0,0.0,,22.8,7.4,18.5,1040.8,
2021-02-28,5.5,3.0,10.0,0.0,,69.8,12.9,25.9,1037.3,
2021-03-01,5.8,4.0,8.0,0.0,,73.7,18.5,27.8,1032.3,
2021-03-02,5.5,4.0,8.0,0.0,,62.5,8.8,22.2,1030.1,
2021-03-03,5.1,4.0,7.0,2.5,,85.4,9.3,16.7,1027.6,
2021-03-04,5.2,4.0,6.0,1.8,,23.5,9.4,25.9,1025.2,
2021-03-05,4.5,2.0,6.0,0.0,,42.0,12.8,29.6,1032.1,
2021-03-06,4.1,3.0,6.0,0.0,,59.4,10.3,22.2,1033.7,
2021-03-07,3.6,1.0,6.0,0.0,,342.8,4.6,18.5,1027.5,
2021-03-08,5.4,1.0,10.0,0.1,,255.3,8.7,20.4,1023.6,
2021-03-09,8.0,4.0,13.0,0.0,,248.4,12.8,27.8,1019.7,
2021-03-10,8.2,7.0,11.0,7.6,,212.1,23.1,59.3,1007.1,
2021-03-11,10.0,6.0,12.0,0.9,,240.9,36.1,66.7,996.3,
2021-03-12,7.7,5.0,11.0,0.8,,233.8,24.9,57.4,1001.6,
2021-03-13,7.2,5.0,10.0,3.1,,251.1,32.3,63.0,995.6,
2021-03-14,8.0,5.0,10.0,1.3,,261.2,25.6,44.5,1012.8,
2021-03-15,9.2,8.0,10.0,0.9,,316.0,15.4,37.0,1020.6,
2021-03-16,9.7,8.0,13.0,1.6,,296.9,14.3,37.0,1027.5,
2021-03-17,7.3,6.0,10.0,1.4,,322.9,11.3,27.8,1032.8,
2021-03-18,7.2,5.0,9.0,2.7,,322.6,11.8,31.5,1028.7,
2021-03-19,7.4,5.0,10.0,0.3,,61.1,14.4,31.5,1028.2,
2021-03-20,7.5,3.0,10.0,0.0,,291.3,6.8,22.2,1030.2,
2021-03-21,8.4,5.0,10.0,0.1,,11.0,10.5,29.6,1028.8,
2021-03-22,9.3,6.0,14.0,0.0,,251.3,7.7,22.2,1026.3,
2021-03-23,8.5,5.0,13.0,0.0,,227.4,12.0,31.5,1024.4,
2021-03-24,9.4,5.0,13.0,0.0,,230.0,11.3,29.6,1020.9,
2021-03-25,9.5,5.0,13.0,0.7,,226.7,16.8,37.0,1018.7,
2021-03-26,9.3,6.0,13.0,2.8,,222.0,21.4,44.5,1010.5,
2021-03-27,8.0,4.0,12.0,0.0,,244.3,22.9,42.6,1018.9,
2021-03-28,,,,,,,,,,
2021-03-29,13.1,10.0,20.0,0.0,,232.1,19.2,38.9,1026.7,
2021-03-30,14.4,5.0,23.0,0.0,,160.8,7.0,22.2,1027.8,
2021-03-31,14.8,8.0,22.0,0.0,,167.7,5.4,22.2,1020.8,
2021-04-01,10.7,6.0,14.0,0.0,,35.6,15.7,33.3,1024.2,
2021-04-02,7.2,6.0,10.0,0.0,,32.6,17.4,35.2,1029.8,
2021-04-03,7.2,6.0,9.0,0.0,,23.3,13.6,33.3,1031.8,
2021-04-04,9.3,5.0,15.0,0.0,,292.2,11.8,27.8,1025.9,
2021-04-05,6.8,4.0,11.0,0.1,,312.3,21.0,42.6,1018.2,
2021-04-06,4.0,2.0,7.0,0.2,,314.0,17.9,40.8,1020.3,
2021-04-07,4.0,0.0,7.0,0.0,,285.4,17.3,31.5,1023.0,
2021-04-08,8.0,4.0,12.0,0.0,,236.2,16.5,35.2,1021.5,
2021-04-09,9.3,6.0,14.0,1.0,,257.9,13.6,27.8,1013.3,
2021-04-10,6.7,5.0,8.0,0.1,,67.7,17.9,33.3,1013.4,
2021-04-11,4.8,1.0,8.0,0.3,,338.0,11.4,29.6,1019.3,
2021-04-12,5.3,1.0,10.0,0.8,,248.9,8.3,22.2,1028.6,
2021-04-13,7.2,2.0,12.0,0.2,,232.6,8.3,22.2,1032.7,
2021-04-14,7.5,6.0,10.0,0.0,,83.8,11.0,27.8,1032.8,
2021-04-15,6.4,2.0,10.0,2.8,,62.2,11.7,31.5,1033.2,
2021-04-16,6.3,2.0,10.0,0.0,,62.6,8.9,22.2,1031.3,
2021-04-17,7.3,2.0,12.0,0.0,,67.2,10.3,24.1,1029.2,
2021-04-18,9.3,4.0,14.0,0.0,,80.2,6.8,20.4,1025.1,
2021-04-19,9.5,4.0,15.0,0.0,,92.3,9.5,20.4,1021.5,
2021-04-20,10.4,6.0,16.0,0.0,,84.7,10.0,18.5,1018.2,
2021-04-21,9.2,5.0,13.0,0.3,,85.4,14.6,33.3,1021.5,
2021-04-22,7.5,3.0,12.0,0.0,,78.4,16.7,27.8,1027.7,
2021-04-23,8.8,3.0,14.0,0.0,,78.1,17.2,33.3,1029.0,
2021-04-24,10.0,5.0,15.0,0.0,,76.7,18.4,33.3,1028.0,
2021-04-25,8.1,5.0,12.0,0.0,,68.9,20.4,37.0,1028.5,
2021-04-26,7.6,5.0,12.0,0.0,,72.4,20.0,29.6,1021.7,
2021-04-27,9.3,3.0,16.0,0.0,,65.9,10.1,18.5,1010.4,
2021-04-28,9.3,7.0,12.0,1.7,,44.7,16.1,33.3,1006.3,
2021-04-29,8.2,5.0,11.0,0.1,,337.6,12.6,29.6,1011.3,
2021-04-30,8.0,4.0,12.0,0.4,,277.0,7.5,20.4,1015.0,
2021-05-01,8.3,4.0,12.0,1.4,,26.6,8.9,24.1,1016.4,
2021-05-02,8.8,5.0,13.0,0.5,,219.4,7.7,24.1,1020.4,
2021-05-03,10.0,7.0,13.0,6.5,,218.7,23.6,59.3,1012.6,
2021-05-04,10.3,8.0,14.0,2.6,,264.6,32.4,61.1,999.5,
2021-05-05,7.5,5.0,12.0,4.7,,274.0,16.7,29.6,1008.6,
2021-05-06,7.9,4.0,12.0,1.1,,268.0,13.5,27.8,1007.1,
2021-05-07,10.3,6.0,15.0,0.0,,264.2,17.3,29.6,1015.3,
2021-05-08,12.3,7.0,16.0,10.2,,182.4,18.6,46.3,1005.9,
2021-05-09,16.8,13.0,20.0,1.4,,201.8,16.8,37.0,997.4,
2021-05-10,13.8,11.0,17.0,2.4,,209.0,19.8,48.2,1000.6,
2021-05-11,12.9,9.0,17.0,1.9,,180.3,14.6,33.3,1007.3,
2021-05-12,13.3,10.0,17.0,0.4,,199.1,14.1,27.8,1008.7,
2021-05-13,11.5,10.0,13.0,7.3,,85.0,14.8,27.8,1006.5,
2021-05-14,10.5,9.0,12.0,0.0,,47.9,9.1,25.9,1009.0,
2021-05-15,11.1,9.0,14.0,2.9,,135.9,9.2,22.2,1001.1,
2021-05-16,11.4,9.0,14.0,6.7,,211.9,11.0,29.6,998.1,
2021-05-17,11.8,11.0,15.0,4.5,,274.6,13.8,27.8,1004.8,
2021-05-18,11.8,8.0,16.0,3.1,,237.1,12.4,29.6,1013.2,
2021-05-19,12.5,10.0,17.0,3.6,,286.6,11.8,31.5,1017.4,
2021-05-20,11.8,8.0,14.0,0.4,,206.3,19.6,55.5,1013.1,
